GCC;GccName;Documents;BODs;Users
ADT;Adevinta;58371;374448;2733
AIG;AIG;154;1321;66
AIT;AIG Time;136516;1152902;18434
AKN;AKZO NOBEL;867496;5055092;12481
ALC;Alcon;192659;1662364;8938
ALQ;Air Liquide Limited;7488;106752;2175
AMP;AMP;162410;757944;5223
AMR;AMREST;163047;991974;13086
AON;Aon Service Corporation;2199;26982;687
ARI;Ariane Group SAS;780;920364;12738
ARN;Arconic;733645;4842441;16634
ASM;ASML;609542;3540403;25813
AST;ASTELLAS PHARMA INC;571914;4912513;17017
ATR;AptarGroup, Inc.;5923;149983;2226
BAS;MBCC (BASF Corporation);235412;1554298;5686
BAY;Bayer;419872;4967567;9820
BHI;Baker Hughes;310268;1711423;19479
BNG;Bunge;19737;336138;2653
BNS;Scotiabank;14530;74101;3226
BNY;The Bank of New York Mellon Corporation;18337;743919;6058
BSE;Bridgestone;343289;5837398;16178
CIB;Canadian Imperial Bank of Commerce;15972;50245;549
COR;Corning;11151;451489;474
COV;COVESTRO;1770763;4841323;23864
CTY;COTY;357724;1126667;7202
CVX;Chevron;231370;2466685;7408
CZB;Commerzbank;129133;1050450;6403
DAN;Danfoss;18;288;21
DEN;Dentsu;1595;65873;1591
DSM;DSM CPS;877792;930113;8334
DTV;Direct TV Argentina;3673;41241;434
DWS;DWS Group;103;1204;16
EAS;Empark Aparcamientos y Servicios;18966;128823;2022
ECL;Ecolab;54030;224880;1877
ELA;Elanco;202;1635;78
ENE;Eneco;98675;3885925;3688
EPI;EuroAPI;75331;989033;4054
ETN;Eaton;294270;4655799;11401
EXX;Exxon;4;61;8
EXY;Exyte;457754;4035928;15453
FCA;FrieslandCampina;887463;11065119;17869
FER;Ferrovial;185316;618779;10318
FLE;Flender Global Payroll;173096;3298935;4411
GFK;GFK;546243;3136427;15659
HCC;3M Spinco;23045;606868;5944
HUF;HUF;231190;2556107;9043
HWM;Howmet Aerospace Inc.;248848;3628797;17069
IIG;Inter IKEA Group;299308;4857579;11308
ING;ING Bank ES;2836933;13651835;38333
INO;Inovyn;5496;599048;3321
IPI;International Paper Company;106322;363603;2925
IVE;Iveco;51;1007;43
JCC;JNTL I Consumer;8152;52127;547
JET;Just Eat Takeaway;5960;169414;2670
JNJ;Johnson & Johnson;390638;808169;10499
JSE;Johnson Electric;149;16818;603
JUM;Jumbo;457;553309;1701
KPN;KPN;310486;4725452;31807
LAN;Lantero;18600;213648;1319
LEO;Leo Pharma;164519;3011787;7507
LZA;Lonza;1859109;16745992;36629
MAE;Maersk;2692563;25348669;72995
MAR;Marelli;778649;6981733;28905
MKL;Markel Corporation;124;1209;14
MMM;3M;1709640;23552445;35105
MPG;Manpowergroup;25018;90778;2129
MRT;Marriott;268496;1101937;19429
NCR;National Cash Register (NCR);111120;943888;3499
NES;Nestle;183437;5639506;11519
NGA;NorthgateArinso;120463;1788856;9590
NIQ;NielsenIQ;15;269;18
NVS;Novartis;606688;45955153;33806
ONE;Ocean Network Express;343096;1673308;7377
ORE;L'OREAL;1111900;20618606;79292
PFC;Petrofac;11078;644084;3695
PLI;Philips Lighting (Signify);321234;940843;6913
PRL;Polo Ralph Lauren;63849;266299;3654
PRY;Prysmian;341108;3531102;43112
PWH;Prym;117;1991;80
RAB;Rabobank;502;2358349;32779
RBC;Royal Bank of Canada ( RBC );15920;136525;1381
RCH;Roche;332344;2983195;55637
RDS;Royal Dutch Shell PLC;119;1330;41
REP;REPSOL;3398;1418962;42938
RKT;Reckitt;174446;1009741;12017
RLH;Resolution Life Holdings;70973;1857288;2227
ROK;Rockwell Automation;369;161482;968
SAM;Samsung - EMEA;2153151;11161611;40965
SBD;Stanley Black&Decker;712917;8544673;18299
SED;Sedgwick;17069;183894;1645
SFY;Sanofi-Aventis;824895;16192474;49246
SGR;Siemens Gamesa;1998;25583;203
SIE;SIEMENS AG;1269415;14132965;52688
SIL;Sisal;31;531;14
SMN;Siemens Energy;111;58526;71
SOL;Solvay SA;3444758;8606240;41276
SRT;Sartorius;317804;6654696;9212
SSB;State Street Bank;1417087;14951379;161733
SWL;Swiss Life;55255;449991;2888
TDS;TD Synnex Corporation;10;188;12
THA;Thales;802681;3191270;19691
UNI;Unilever LATAM;1417078;13748667;74608
VES;Vestas;322678;11126346;7014
WEC;Westinghouse;114084;1871627;5988
ZPM;Alight Premier;167;1313;9
ZTR;cleaHRsky training;450;1715;15
ZXO;Pre-Sales Oracle;130;12108;78
ZZC;YourCorp Global Demo;650;1070;10
ZZF;Alight Payroll GLR;60;939;11